?H(DOI),?L(DOI),Cell_area_measured,Cell_architecture,Substrate_stack_sequence,Perovskite_band_gap,Voc,Jsc,FF,PCE
0.06,0.06,0.1,nip,E,1.6,1.01,21.15,0.57,12.18
0.2,0.8,0.0756,nip,A,1.6,0.97,20,0.69,13.3
0.3,0.53,0.096,nip,A,1.53,1.1,19.3,0.79,16.8
0.2,0.7,0.04,nip,E,1.53,1.08,20.06,0.6725,13.03
0.4,0.33,1.21,pin,F,1.53,1,21.46,0.755,16.16
0.4,0.33,1.3,pin,E,1.65,0.79,15.03,0.5536,6.58
-0.04,0.32,1.3,pin,E,1.65,0.78,14.71,0.5346,6.16
0.2,0.63,0.052,nip,A,1.53,1.05,21,0.723,16.1
0.2,0.63,1.052,nip,A,1.53,1.05,20.3,0.731,15.7
0.2,0.63,2.052,nip,A,1.53,1.07,20.7,0.771,17.2
0.2,0.63,3.052,nip,A,1.53,0.92,19.1,0.627,11
0.2,0.63,4.052,nip,A,1.53,1.05,20.1,0.688,14.6
0.2,0.63,5.052,nip,A,1.53,0.93,19.6,0.589,10.9
0.2,0.63,6.052,nip,A,1.53,0.89,17.2,0.631,9.7
0.2,0.63,7.052,nip,A,1.53,0.83,15.5,0.607,7.8
0.2,0.5,0.09,nip,A,1.5,0.98,10.89,0.464,4.95
0.2,0.5,0.09,nip,A,1.5,1.06,13.06,0.619,8.53
0.2,0.5,0.09,nip,A,1.5,1.05,17.68,0.69,12.77
0.2,0.5,0.09,nip,A,1.5,1.03,21.66,0.689,15.29
0.2,0.5,0.09,nip,A,1.5,1.03,16.64,0.65,11.18
0.2,0.3,0.09,pin,F,1.5,1.01,18.76,0.76,14.4
0.4,0.43,0.1,pin,C,1.53,1.14,18.8,0.695,14.9
0.4,0.43,0.1,pin,C,1.53,1.14,18.8,0.69,14.8
0.2,0.43,0.04,nip,E,1.53,1.03,13.47,0.31,5.4
0.2,0.43,0.04,nip,E,1.53,1.08,17.07,0.63,14.5
0.2,0.43,0.04,nip,E,1.53,1.07,20.9,0.62,13.9
0.3,0.53,0.096,nip,A,1.53,1.13,20.1,0.77,17.5
0.3,0.53,1.096,nip,A,1.53,1.13,20.1,0.78,17.7
0.3,0.43,2.096,nip,A,1.53,1.08,20,0.78,16.8
0.3,0.43,3.096,nip,A,1.53,1.09,20.1,0.79,17.3
0.3,0.13,0.096,nip,H,1.53,1.1,17.4,0.76,14.5
